,blockNumber,timestamp,transactionHash,from,to,fromIsContract,toIsContract,callType,callingFunction,value,isError
0,3677263,1494333295,0xaa1ea95900ade132420fcbd438f511bb103c350436c752f459c47f55bd68e387,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,0.01,None
1,3677355,1494334525,0xf4260f4465dda004d3e9811ced7f51a7d74fcebbae2e6751624d64832c7381c2,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,1.0,None
2,3677363,1494334640,0x91a5eb5c52513a2245b95d21681860f574241bea1230bddc780c2110cd55477d,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,1e-18,None
3,3677371,1494334809,0x536fa4802b705659624e4a27fe4fc0ff0b0b4ca7be24f8ef98b9472d78b40112,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,100.0,None
4,3677376,1494334910,0x38910a079e2d4247c946053df74efde09903cd74cf4371ae0021f0329f83780f,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,200.0,None
5,3677387,1494335029,0x07002c391ea44691549a6fd53b1bed52eee86c35e865e6202f436af8a1a1d06f,0x3166d10bc45d717441911b860b767bd446924b32,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,500.0,None
6,3677403,1494335348,0x106177dee8a9fbad99215c984cd2241dcdd07b43a16d128c8998735fd0d6addb,0x0987478d1a48f0d732583e2149831a60d573f218,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,2.8792523799999588,None
7,3677403,1494335348,0x17815b039d2807f84ba3cc300180a195ee568462332ffe58172740823818eff8,0x1711ef7be4cc8041ad32f158d4659e1f9bbfda98,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,23.4912,None
8,3677403,1494335348,0x2209657e23af8dd9aaf7bf5f936d7beb018263086b92286b64d4c51bdc78bf95,0xad553a30a2827dff61fe0c738bd30dacbdcba2d3,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,35.28842791,None
9,3677403,1494335348,0x36b0d728ff6b2665982ded9b60092c90be4c46d9609f83dbd37810ac08ffb194,0xb86619046c5a3a1b99377b7240ff4d8de25af4e2,0x96f578adbeaa1f243c371d75bc722de27b6cad27,0,0,call,0x,14.30065243,None
